scenario,seed,method,name,num_users,num_tx_antennas,snr_db,p_max,channel,pathloss_db_low,pathloss_db_high,notes,noise_var,load_ratio,mean_power,power_utilization,power_violation_ratio,mean_wsr,std_wsr,p10_wsr,p50_wsr,p90_wsr,mean_user_rate,mean_min_user_rate,mean_jain_fairness,gap_to_reference,relative_wsr_percent,mean_abs_wsr_gap,p90_abs_wsr_gap,win_rate_vs_reference,runtime_ms_per_sample
fully_loaded_snr20,0,WMMSE-2,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,0.9999997019767761,0.9999997019767761,0.0,10.827651858329773,1.2557714953689147,9.461864376068116,10.59609842300415,12.477813148498536,2.7069129597075516,0.5765770776779391,0.7930839125872414,0.0729974303671296,92.70025696328705,0.8526304960250854,1.3425066471099854,0.0,0.9243460081052035
fully_loaded_snr20,0,WMMSE-ref-3,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,0.9999998807907104,0.9999998807907104,0.0,11.680282354354858,1.3262653253131889,9.965422916412354,11.367185115814209,13.265013408660888,2.920070594849676,0.5859686982730636,0.7947499799675353,0.0,100.0,0.0,0.0,0.0,1.3900262711104006
lightly_loaded_snr10,0,MRT,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.0,1.0,0.0,4.684562921524048,0.5289649733612055,4.184714841842651,4.663659572601318,5.188738918304443,1.1711407098919153,0.919423334300518,0.9649462774359363,0.19957672461174636,80.04232753882536,1.1680434942245483,1.618686556816101,0.0,0.011110998457297683
lightly_loaded_snr10,0,ZF,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.0,1.0,0.0,1.1689657643437386,0.4229826121183015,0.6462819814682007,1.167993426322937,1.722569727897644,0.29224143567989813,0.08420801142347045,0.7010006991894664,0.8002657855273254,19.97342144726746,4.683640480041504,5.304342269897461,0.0,0.05588651401922107
lightly_loaded_snr10,0,RZF,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.0,1.0,0.0,1.2930089458823204,0.4763975738686001,0.7047935783863067,1.289659857749939,1.8732147932052612,0.32325223359657684,0.0954134302737657,0.7010511923498693,0.7790712799273509,22.0928720072649,4.559597492218018,5.238975524902344,0.0,0.027048023184761405
lightly_loaded_snr10,0,WMMSE-1,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.0,1.0,0.0,5.394891560077667,0.7578707955094847,4.708691167831421,5.387421369552612,6.109492349624634,1.348722924478352,0.538835983723402,0.82962079454864,0.0782070370022143,92.17929629977857,0.45771485567092896,0.9345434904098511,0.0,0.5023578705731779
lightly_loaded_snr10,0,WMMSE-2,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.0,1.0,0.0,5.719845175743103,0.6668749069337772,5.131748914718628,5.712829113006592,6.26804895401001,1.4299613197799772,0.635407536290586,0.8449229344583528,0.022684243176077576,97.73157568239225,0.13276124000549316,0.31485211849212646,0.0,0.9454373794142157
lightly_loaded_snr10,0,WMMSE-ref-3,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.0,1.0,0.0,5.852606415748596,0.6487868624530319,5.2392974376678465,5.8188652992248535,6.596374416351318,1.4631515969522297,0.6384021807461977,0.8515769703886291,0.0,100.0,0.0,0.0,0.0,1.4143026201054454
lightly_loaded_snr20,0,MRT,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,1.0,1.0,0.0,7.45325630903244,0.9418786179487119,6.398672485351563,7.458397150039673,8.537661933898926,1.8633140735328197,1.5285265445709229,0.9574150061627389,0.4978972579259104,50.21027420740896,7.390829563140869,8.524288177490234,0.0,0.01143410918302834
lightly_loaded_snr20,0,ZF,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,1.0,1.0,0.0,2.30054372549057,0.9665284431611593,1.1442339062690734,2.462827444076538,3.233223223686218,0.5751359340065392,0.18592822487698868,0.6965421264489702,0.845019502540033,15.498049745996699,12.543542861938477,14.971484184265137,0.0,0.049590395065024495
lightly_loaded_snr20,0,RZF,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,1.0,1.0,0.25,2.318398654460907,0.9698655105584703,1.1533785104751586,2.4814857244491577,3.2507004737854,0.5795996644592378,0.1906853202963248,0.6960492608246545,0.8438166874309997,15.61833125690003,12.525688171386719,14.9614896774292,0.0,0.028790615033358335
lightly_loaded_snr20,0,WMMSE-1,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,1.0,1.0,0.0,12.529648661613464,2.5461396826545712,9.591216087341309,12.778529167175293,15.08107795715332,3.13241213420406,1.7772165033966303,0.8914248870146514,0.15591643435284153,84.40835656471585,2.3144371509552,3.4118812084198,0.0,0.4905961104668677
lightly_loaded_snr20,0,WMMSE-2,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,1.0,1.0,0.0,14.34266984462738,2.3451836100116923,12.08087978363037,14.97454833984375,16.216661643981933,3.5856674507958815,2.336997318547219,0.9234004336733957,0.03377885419943217,96.62211458005679,0.5014159679412842,1.033241629600525,0.0,0.9552083793096244
lightly_loaded_snr20,0,WMMSE-ref-3,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,1.0,1.0,0.0,14.844085812568665,2.120408500125761,12.794736671447755,15.208783626556396,16.66189365386963,3.7110215028515086,2.484225561376661,0.9273135970229913,0.0,100.0,0.0,0.0,0.0,1.4224656333681196
pathloss_shift_snr10,0,MRT,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,1.0,1.0,0.0,3.2364456951618195,0.6180245343448507,2.5831930875778197,3.2058252096176147,4.019439744949341,0.8091114275157452,0.48659131675958633,0.90493717577637,0.41371877736862006,58.628122263137996,2.2838497161865234,3.408240556716919,0.0,0.010204763384535909
pathloss_shift_snr10,0,ZF,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,1.0,1.0,0.0,0.5106119364500046,0.2547212001173378,0.26253361701965333,0.40374426543712616,0.8164649844169616,0.12765298227895983,0.02597639092709869,0.6408234627048952,0.9075027885273941,9.249721147260592,5.009683609008789,6.627660274505615,0.0,0.04757088026963174
pathloss_shift_snr10,0,RZF,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,1.0,1.0,0.375,1.0930778086185455,0.3556910948483311,0.7097251892089844,0.9884446859359741,1.5137330532073974,0.27326945403183345,0.04867107892641798,0.6648303595416811,0.8019892675922974,19.80107324077026,4.427217483520508,5.863588809967041,0.0,0.02587839844636619
pathloss_shift_snr10,0,WMMSE-1,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,1.0,1.0,0.0,4.669797301292419,1.009737137580907,3.5628482818603517,4.969568967819214,5.5839225292205805,1.1674493292230181,0.09595702472142875,0.6694901248045388,0.15406750978824293,84.59324902117571,0.8504981994628906,1.541132926940918,0.0,0.4750312655232847
pathloss_shift_snr10,0,WMMSE-2,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,1.0,1.0,0.0,5.335722863674164,1.2622619766166387,3.935439205169678,5.371902942657471,6.827195692062378,1.3339307099904545,0.02382387271063635,0.6309751674279883,0.03343529212788329,96.65647078721167,0.18457263708114624,0.3762624263763428,0.0,0.9170630073640496
pathloss_shift_snr10,0,WMMSE-ref-3,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,1.0,1.0,0.0,5.52029550075531,1.31759933324465,4.026364660263062,5.497005939483643,7.039452266693115,1.3800738745455874,0.007186128513239964,0.6132968203258236,0.0,100.0,0.0,0.0,0.0,1.3691742497030646
pathloss_shift_snr20,0,MRT,pathloss_shift_snr20,4,4,20.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.01,1.0,1.0,1.0,0.0,4.874593794345856,1.194561457281752,3.889971685409546,4.574466943740845,6.084467792510986,1.2186484541743994,0.9154210612177849,0.9373412598160803,0.5823193492546211,41.76806507453788,6.796029567718506,9.284753799438477,0.0,0.010361371096223593
pathloss_shift_snr20,0,ZF,pathloss_shift_snr20,4,4,20.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.01,1.0,1.0,1.0,0.0,1.481611993163824,0.6238607956944157,0.764399328827858,1.4391291737556458,2.274080681800842,0.37040299859654624,0.054648706514853984,0.6048660297849815,0.8730477483375738,12.695225166242617,10.189010620117188,12.159220695495605,0.0,0.04548337892629206
pathloss_shift_snr20,0,RZF,pathloss_shift_snr20,4,4,20.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.01,1.0,1.0,1.0,0.0,1.6397776007652283,0.6642851879708064,0.8804273843765259,1.6453258395195007,2.4076410293579102,0.4099444031016901,0.06795482011511922,0.6232826067049261,0.8594952856522751,14.05047143477249,10.030845642089844,12.065319061279297,0.0,0.028338487027212977
pathloss_shift_snr20,0,WMMSE-1,pathloss_shift_snr20,4,4,20.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.01,1.0,0.9999998807907104,0.9999998807907104,0.0,8.186837255954742,1.1481556615684425,7.005288553237915,8.161486148834229,9.6131441116333,2.046709277667105,0.5652786903083324,0.7778012796094063,0.29850902992236344,70.14909700776366,3.483785629272461,6.249997615814209,0.0,0.469223246909678
pathloss_shift_snr20,0,WMMSE-2,pathloss_shift_snr20,4,4,20.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.01,1.0,0.9999999403953552,0.9999999403953552,0.0,10.272926449775696,1.4507313086668778,8.477711963653565,10.919729709625244,11.790049934387207,2.56823160557542,0.5509226196445525,0.7560212634587855,0.1197620174518792,88.02379825481208,1.397696614265442,3.1218039989471436,0.0,0.9169993863906711
pathloss_shift_snr20,0,WMMSE-ref-3,pathloss_shift_snr20,4,4,20.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.01,1.0,0.9999998211860657,0.9999998211860657,0.0,11.670623064041138,1.9375543859785558,9.191882419586182,12.126684188842773,13.618813323974608,2.917655791051402,0.3648355859804724,0.7524456437281561,0.0,100.0,0.0,0.0,0.0,1.3809104857500643
